id,address,type
876,"44 Snelling Place",Residential
877,"53 McKinley Square",Business
878,"655 Ridgeway Lane",Residential
879,"180 E Dedham Street",Residential
880,"626 Loring Street",Residential
881,"20 Antrim Street",Residential
882,"7 Jersey Street",Business
883,"18 Aberdeen Street",Residential
884,"364 Leverett Circle",Business
885,"24 Province Court",Residential
886,"408 Border Street",Residential
887,"247 Baldwin Place",Residential
888,"515 Hayward Place",Business
889,"73 Emmet Street",Residential
890,"10 San Juan Street",Residential
891,"50 Joy Place",Business
892,"4143 Central Wharf",Residential
893,"649 Frederick Street",Residential
894,"543 Orton Marotta Way",Business
895,"18 Massachusetts Avenue",Residential
896,"112 Bay View Place",Residential
897,"63 Mohawk Street",Residential
898,"4362 Dartmouth Street",Business
899,"554 Joy Court",Business
900,"458 Henry Street",Business
901,"17 Clearway Street",Residential
902,"308 Burnham Place",Residential
903,"622 Cummington Street",Residential
904,"54 Locke Place",Residential
905,"78 St Stephen Street",Residential
906,"216 Hersey Place",Residential
907,"7712 O Street Place",Residential
908,"713 St Edward Road",Business
909,"76 Thacher Street",Business
910,"9 Bedford Street",Business
911,"116 G Street",Business
912,"550 City Hall Avenue",Residential
913,"482 Tileston Street",Business
914,"97 Marine Road",Residential
915,"42 State Route 3",Business
916,"5817 W Rutland Square",Residential
917,"4245 Lancaster Street",Residential
918,"492 Watson Street",Residential
919,"15 Ida Street",Residential
920,"43 Greenough Lane",Residential
921,"53 Sudbury Street",Residential
922,"562 Winter Street",Residential
923,"476 Causeway Street",Residential
924,"158 Service Road",Business
925,"5391 Union Park",Residential
926,"71 Province Street",Residential
927,"9294 Portland Street",Residential
928,"297 Byron Street",Residential
929,"633 Charlestown Brg",Residential
930,"3 Columbia Street",Residential
931,"156 E 7th Street",Business
932,"77 Stanhope Street",Residential
933,"85 Concord Square",Residential
934,"56 Commercial Wharf W",Residential
935,"371 C Street",Residential
936,"968 Lombard Place",Residential
937,"78 Liverpool Street",Residential
938,"28 S Bremen Street",Residential
939,"221 Wendell Place",Residential
940,"525 Dartmouth Place",Business
941,"3103 Burke Street",Residential
942,"844 Eliot Place",Business
943,"2482 Corey Avenue",Residential
944,"9268 Beaver Street",Residential
945,"36 Sentry Hill Place",Residential
946,"717 Palace Road",Residential
947,"69 Staniford Street",Residential
948,"89 W Haven Street",Residential
949,"51 Doolin Place",Business
950,"74 New Street",Business
951,"1 Wadsworth Place",Business
952,"59 E Lenox Street",Business
953,"269 Brigham Street",Residential
954,"7799 India Street",Residential
955,"2 Pelham Street",Business
956,"6 Longwood Avenue",Residential
957,"445 Aramon Street",Business
958,"6339 Traveler Street",Residential
959,"31 Cooper Street",Residential
960,"803 Linsky Barry Court",Residential
961,"449 Rutland Street",Residential
962,"241 Thomson Place",Business
963,"635 E Springfield Street",Residential
964,"51 Dean Way",Residential
965,"84 Ross Place",Business
966,"661 Van Rensselaer Place",Business
967,"10 Marion Place",Residential
968,"80 St James Avenue",Business
969,"9687 Leon Street",Residential
970,"526 Collidge Avenue",Residential
971,"457 Pittsburgh Street",Residential
972,"462 H Street Place",Residential
973,"39 Worcester Street",Business
974,"348 Tavern Road",Residential
975,"450 Shelby Street",Residential
976,"66 Peterborough Street",Business
977,"5504 Chardonnay Terrace",Business
978,"388 Glendon Place",Business
979,"26 Cornhill Street",Residential
980,"88 Beckler Avenue",Business
981,"22 Cumston Place",Business
982,"32 Silver Place",Residential
983,"427 W 7th Street",Business
984,"490 Revere Street",Residential
985,"78 Blackfan Street",Residential
986,"2709 Lovejoy Place",Residential
987,"339 Hersey Place",Business
988,"48 E Springfield Street",Residential
989,"59 Saratoga Place",Residential
990,"348 Salt Lane",Business
991,"72 Concord Square",Residential
992,"586 Appleton Street",Residential
993,"37 Joy Place",Residential
994,"332 St Stephen Street",Residential
995,"23 Telegraph Street",Business
996,"232 Foundry Street",Business
997,"312 Nashua Street",Residential
998,"7520 Province Street",Residential
999,"180 Dexter Street",Residential
1000,"781 Northern Avenue",Residential
1001,"96 Chestnut Street",Residential
1002,"7537 Princeton Place",Business
1003,"56 Emerald Court",Residential
1004,"141 Short Street",Residential
1005,"901 Huntington Avenue",Business
1006,"905 Grady Court",Residential
1007,"2489 Munson Street",Business
1008,"549 Paris Court",Residential
1009,"905 Commonwealth Avenue",Residential
1010,"899 Paris Court",Residential
1011,"1501 Traveler Street",Residential
1012,"840 Acadia Street",Residential
1013,"832 Bennington Street",Residential
1014,"14 Clark Street",Residential
1015,"63 Kilmarnock Street",Business
1016,"284 Merchants Row",Business
1017,"38 Lyndeboro Place",Residential
1018,"0 Dixfield Street",Business
1019,"641 Athens Street",Business
1020,"153 S Bay Avenue",Residential
1021,"188 Arch Street",Residential
1022,"54 India Street",Residential
1023,"669 Concord Place",Business
1024,"53 Leyden Street",Business
1025,"798 Deerfield Street",Business
1026,"998 Greenwich Park",Business
1027,"24 Deaconess Road",Residential
1028,"54 Gage Street",Residential
1029,"428 Locke Place",Residential
1030,"634 W Newton Street",Residential
1031,"246 Nashua Street",Residential
1032,"778 St Cecilia Street",Residential
1033,"664 M Street Place",Residential
1034,"1929 Thacher Court",Business
1035,"489 Snow Hill Street",Business
1036,"71 Carleton Street",Residential
1037,"78 Thompson Court",Residential
1038,"942 Tamworth Street",Residential
1039,"353 Fay Street",Residential
1040,"31 Louisburg Square",Business
1041,"13 Quimby Road",Residential
1042,"78 Neptune Road",Business
1043,"62 Baldwin Street",Business
1044,"8892 Wormwood Street",Residential
1045,"47 Wiget Street",Residential
1046,"7603 Isabella Street",Residential
1047,"20 Charlesgate",Business
1048,"112 Clarendon Street",Residential
1049,"4 Utica Street",Residential
1050,"36 Eliot Street",Business
1051,"96 State Route 28",Residential
1052,"46 Greenwich Park",Residential
1053,"16 Lennon Court",Residential
1054,"48 Braddock Park",Business
1055,"5967 Shelby Street",Residential
1056,"488 Condor Street",Business
1057,"471 Paris Street",Residential
1058,"540 Edgerly Place",Business
1059,"118 Boston Place",Residential
1060,"65 Antrim Street",Residential
1061,"68 Garden Court",Residential
1062,"658 Athens Street",Residential
1063,"7 West Street",Business
1064,"838 Blackwood Street",Residential
1065,"3157 Ashburton Place",Residential
1066,"2975 Melrose Street",Residential
1067,"463 Tudor Street",Residential
1068,"958 Aldine Street",Business
1069,"376 Park Plaza",Residential
1070,"866 New Sudbury Street",Residential
1071,"17 Ordway Place",Business
1072,"826 Darius Court",Residential
1073,"79 Fenway",Residential
1074,"345 Haymarket Place",Business
1075,"879 Jersey Street",Residential
1076,"725 Mount Vernon Place",Residential
1077,"253 Stillman Street",Business
1078,"30 Bennet Place",Residential
1079,"179 Franklin Street",Residential
1080,"301 Warrenton Street",Residential
1081,"881 Putnam Street",Residential
1082,"1976 Clark Street",Business
1083,"9168 Creek Square",Business
1084,"752 Hayward Place",Residential
1085,"877 Baxter Street",Residential
1086,"447 Necco Place",Business
1087,"31 Linden Street",Residential
1088,"38 Trinity Place",Business
1089,"81 Arch Street",Business
1090,"527 B Street",Business
1091,"58 Springer Street",Residential
1092,"671 Park Place",Business
1093,"444 Dexter Street",Business
1094,"88 Lamson Street",Residential
1095,"886 Yard Way",Residential
1096,"48 Lawn Avenue",Residential
1097,"642 Ditmus Court",Residential
1098,"52 Washington Street",Residential
1099,"123 Joy Street",Business
1100,"80 Greenough Lane",Residential
1101,"71 Condor Street",Residential
1102,"753 Corey Avenue",Residential
1103,"841 Trenton Street",Residential
1104,"1392 Baldwin Street",Residential
1105,"44 Gardner Place",Residential
1106,"2 Avenue de Lafayette",Residential
1107,"830 Avon Street",Residential
1108,"443 Lawson Place",Residential
1109,"295 Traverse Street",Residential
1110,"21 Lillian Street",Residential
1111,"147 McCormack Square",Residential
1112,"456 Hanover Street",Business
1113,"532 State Route 9",Residential
1114,"935 Rev Richard A Burke Street",Residential
1115,"17 Traverse Street",Residential
1116,"11 Boylston Square",Business
1117,"936 W Cedar Street",Residential
1118,"408 St Marys Street",Residential
1119,"244 Beverly Street",Business
1120,"961 Swallow Street",Residential
1121,"81 Washington Street",Business
1122,"107 Joy Street",Residential
1123,"76 Greenwich Park",Business
1124,"4678 Hereford Street",Business
1125,"10 Charles River Dam",Business
1126,"462 Telegraph Street",Residential
1127,"30 Butler Place",Business
1128,"507 Dartmouth Street",Business
1129,"1736 O Street",Residential
1130,"2079 Geneva Street",Residential
1131,"6517 Grove Square",Business
1132,"501 Anchor Way",Business
1133,"378 Trenton Street",Residential
1134,"992 Cornhill Street",Business
1135,"54 W Andrews Place",Business
1136,"4 Bartlett Place",Business
1137,"69 Washington Street",Residential
1138,"898 Federal Street",Residential
1139,"684 Sleeper Street",Business
1140,"3782 D Street",Residential
1141,"601 Bradford Street",Residential
1142,"8235 Martha Road",Business
1143,"64 Sudbury Street",Residential
1144,"5378 B Street",Residential
1145,"44 Sudbury Street",Residential
1146,"81 Sun Court Street",Residential
1147,"14 Leverett Avenue",Residential
1148,"729 Hall Place",Business
1149,"421 Hathaway Street",Business
1150,"0 Devonshire Street",Residential
1151,"9932 Well Street",Residential
1152,"91 Batterymarch Street",Business
1153,"132 Beck Street",Residential
1154,"76 Pine Street",Business
1155,"399 Swift Terrace",Business
1156,"711 Taylor Street",Residential
1157,"2069 Autumn Street",Residential
1158,"6280 Winter Street",Business
1159,"227 E 9th Street",Residential
1160,"47 Lafayette Avenue",Residential
1161,"11 Taylor Street",Residential
1162,"151 Fenway Plaza",Residential
1163,"93 E Dedham Street",Residential
1164,"646 Lawrence Street",Residential
1165,"686 Lovejoy Place",Business
1166,"25 Lawrence Street",Residential
1167,"304 Exeter Place",Residential
1168,"9818 W Rutland Square",Business
1169,"31 Columbia Street",Residential
1170,"44 Battery Wharf",Business
1171,"86 Border Street",Residential
1172,"445 Joy Place",Business
1173,"476 Collidge Avenue",Business
1174,"842 Barnard Place",Residential
1175,"228 Plymouth Street",Residential
1176,"7224 St James Avenue",Residential
1177,"580 Porter Place",Warehouse
1178,"0 Adams Place",Residential
1179,"62 Leeds Street",Business
1180,"3 Cummings Street",Residential
1181,"133 Copps Hill Terrace",Business
1182,"9498 Minnie Court",Business
1183,"3 Holden Court",Residential
1184,"91 Lincoln Street",Business
1185,"446 Coleridge Street",Residential
1186,"51 Lyndeboro Place",Residential
1187,"9456 Lattimore Court",Business
1188,"922 Cummings Street",Residential
1189,"96 Colburn Street",Business
1190,"27 B Street",Residential
1191,"400 Queensberry Street",Residential
1192,"491 Franklin Street",Residential
1193,"619 Blagden Street",Business
1194,"26 Chickerling Place",Residential
1195,"765 Byron Street",Business
1196,"708 St Botolph Street",Business
1197,"560 Estes Place",Residential
1198,"270 Traveler Street",Residential
1199,"8 Beckler Avenue",Residential
1200,"89 Newmarket Square",Residential
1201,"55 Devonshire Street",Residential
1202,"4898 Milk Street",Residential
1203,"618 Otis Street",Business
1204,"720 Trustman Terrace",Residential
1205,"656 Benner Street",Residential
1206,"570 Bowdoin Street",Residential
1207,"72 Pages Court",Residential
1208,"602 Norway Street",Residential
1209,"16 N Hudson Street",Residential
1210,"39 Somerset Street",Residential
1211,"680 Ellery Street",Residential
1212,"23 Chickerling Place",Residential
1213,"2839 Essex Street",Residential
1214,"410 Camden Street",Business
1215,"35 Bremen Place",Business
1216,"1707 Gloucester Street",Residential
1217,"59 Story Street",Business
1218,"3781 Kempton Street",Business
1219,"850 Lansdowne Street",Business
1220,"510 Bowdoin Street",Residential
1221,"69 Ellery Street",Residential
1222,"9988 Barnard Place",Residential
1223,"417 Albemarle Court",Residential
1224,"457 Trustman Terrace",Residential
1225,"402 Ordway Place",Residential
1226,"890 Calvin Place",Business
1227,"16 Hanson Street",Business
1228,"176 Balmoral Park",Residential
1229,"34 Swift Street",Residential
1230,"111 Arlington Street",Residential
1231,"7378 Fleet Street",Residential
1232,"505 Marion Court",Residential
1233,"31 Maple Place",Business
1234,"64 Winter Place",Residential
1235,"90 Hanover Street",Business
1236,"81 India Street",Business
